,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5875857671101887,0.02516969574273555,0.07510121663411458,0.0012289642115849012,gini,6,0.75,1,2,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.7479286169534736,0.7502044822509406,0.7420413521496554,0.7467248171180231,0.003439575923036636,580
1,2.6334184805552163,0.059050835010674846,0.11275903383890788,0.0015361053822647742,gini,6,0.75,1,2,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 128}",0.7388952630716276,0.7531676022453888,0.7445447087776865,0.7455358580315677,0.005868656802899155,582
2,3.731773535410563,0.1709687955280255,0.17149686813354492,0.0014854845674873646,gini,6,0.75,1,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.74101894186806,0.7456960157402853,0.7408130081300812,0.7425093219128088,0.0022549006391512244,650
3,5.451481819152832,0.01014166620621744,0.2568057378133138,0.0016674049917755457,gini,6,0.75,1,2,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7416680214599252,0.7440329218106996,0.7371690094802223,0.7409566509169491,0.002846970220799643,711
4,1.4800074100494385,0.04085609053339977,0.07688283920288086,0.00417231701895515,gini,6,0.75,1,4,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 80}",0.7472527472527473,0.7496339677891655,0.7454721862871928,0.7474529671097018,0.0017049286027826579,578
5,2.3248732884724936,0.038852433070776425,0.11109662055969238,0.0008474147168008735,gini,6,0.75,1,4,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 128}",0.743128272251309,0.7429410804635221,0.739905182278895,0.7419915116645753,0.0014772356888275557,673
6,3.8937995433807373,0.2517933216993858,0.1701035499572754,0.0022052071226299824,gini,6,0.75,1,4,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.7409579667644184,0.7469125638070148,0.7414330218068537,0.7431011841260956,0.0027020215428981273,627
7,5.78744379679362,0.2572192179766382,0.25330885251363117,0.002323419617641655,gini,6,0.75,1,4,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.7390594382756368,0.7453171212619125,0.7391091532060696,0.741161904247873,0.0029382522263980576,707
8,1.4596784114837646,0.020180832094657822,0.07615137100219727,0.004106181474912249,gini,6,0.75,2,2,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 80}",0.7458777885548011,0.7451763140385894,0.7439344262295082,0.7449961762742996,0.000803534480668364,587
9,2.338995377222697,0.005296515845260657,0.11282181739807129,0.001904305265242711,gini,6,0.75,2,2,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 128}",0.7392578125,0.7456846950517837,0.7386177530298067,0.7411867535271969,0.003191240876764435,703
10,3.590328057607015,0.06122950973008001,0.17277892430623373,0.0017301814722950146,gini,6,0.75,2,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7386827913057689,0.7469166255550074,0.7401315789473685,0.7419103319360483,0.0035890554242062243,677
11,5.485841989517212,0.014752205318127288,0.2525184154510498,6.014798787648543e-05,gini,6,0.75,2,2,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7431551499348109,0.7445830597504923,0.740268236833497,0.7426688155062667,0.0017947729816604734,645
12,1.4490916728973389,0.009302359844499612,0.07275827725728352,0.0013394564050235335,gini,6,0.75,2,4,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 80}",0.7432850398827934,0.7451496218349227,0.7395121951219512,0.742648952279889,0.0023450089644402334,646
13,2.2855887413024902,0.0048698404475383,0.11291805903116862,0.0005114215914687008,gini,6,0.75,2,4,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 128}",0.7421900690562315,0.7459352931515848,0.7417717373505812,0.7432990331861324,0.0018719241986207553,622
14,3.5909601052602134,0.0032341904937568658,0.1730374495188395,0.0006259991853594535,gini,6,0.75,2,4,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7387828356991352,0.742791234140715,0.742904019688269,0.741492696509373,0.001916714089804334,697
15,5.4622132778167725,0.026209613170883016,0.25340112050374347,0.0006478461302271159,gini,6,0.75,2,4,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.7405714285714285,0.7441783649876136,0.7387828356991352,0.7411775430860591,0.0022440239421392806,705
16,1.461348533630371,0.020896107792532845,0.07953739166259766,0.009013692180496604,gini,6,0.75,3,2,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 80}",0.7446254071661238,0.7501599488163788,0.7418719211822661,0.7455524257215895,0.0034464835284279227,581
17,2.3209590117136636,0.005546212008308454,0.11283691724141438,0.002366935122509213,gini,6,0.75,3,2,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 128}",0.742448847028256,0.7466536075742736,0.7434435575826682,0.7441820040617326,0.0017942463996839942,599
18,3.5830700397491455,0.021378485175765113,0.17254010836283365,0.001956037802971553,gini,6,0.75,3,2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.7394274560832792,0.7435224663824204,0.7378356387306753,0.7402618537321249,0.0023954354875419027,719
19,5.921666383743286,0.17629289261463452,0.25508586565653485,0.0053140690076324435,gini,6,0.75,3,2,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.7405830330822142,0.7437664041994749,0.739770867430442,0.7413734349040437,0.0017242640552106398,698
20,1.5457716782887776,0.12603513529834434,0.07268309593200684,0.0002990309525966299,gini,6,0.75,3,4,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 80}",0.7373046875,0.7502846917195379,0.7394654861452696,0.7423516217882691,0.005678465848985973,656
21,2.3207940260569253,0.010094153203492901,0.11075258255004883,0.0005324101297821213,gini,6,0.75,3,4,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 128}",0.741488841830917,0.7421052631578947,0.7415439391487296,0.7417126813791804,0.00027850705358078667,688
22,3.5873279571533203,0.023877329027067597,0.17035484313964844,0.0018334801387731574,gini,6,0.75,3,4,200,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.7436316133246245,0.7498360655737706,0.7398787084084577,0.744448795768951,0.004105937228769126,593
23,5.434960683186849,0.039355557082155934,0.2550639311472575,0.0024686806162247483,gini,6,0.75,3,4,300,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.7418146277895423,0.7446738774172402,0.7390806477997709,0.7418563843355178,0.0022836173198506624,678
24,1.4953254858652751,0.041019494026872286,0.07333119710286458,0.001563329189350536,gini,6,0.8,1,2,80,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.7427263811703171,0.7522081259033242,0.7381530001617338,0.7443625024117916,0.005853449663265961,594
25,2.4266459147135415,0.027635764667443434,0.1127309799194336,0.0005455236261028553,gini,6,0.8,1,2,128,"{'criterion': 'gini', 'max_depth': 6, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 128}",0.7421342847875445,0.7425856136326398,0.7398654193336617,0.7415284392512819,0.001190280321718411,694
